,Lig,Tarih,EvSahibi,Deplasman,MSES,MSD,SON,IYES,IYD,IYS,ESS,DS,ESIS,DIS,ESF,DF,ESK,DK,ESS.1,DS.1,ESK.1,DK.1
47,T1,22/09/2018,Kayserispor,Konyaspor,0,2,D,0,2,D,17,8,4,5,18,7,6,5,1,2,0,0.0
48,T1,22/09/2018,Trabzonspor,Goztep,1,2,D,0,2,D,13,5,5,2,12,12,4,2,2,4,0,0.0
49,T1,22/09/2018,Yeni Malatyaspor,Rizespor,1,0,E,1,0,E,23,7,9,1,17,15,10,3,2,3,0,1.0
50,T1,23/09/2018,Akhisar Belediyespor,Galatasaray,3,0,E,0,0,B,10,12,5,3,15,13,1,6,4,3,0,0.0
51,T1,23/09/2018,Antalyaspor,Sivasspor,2,1,E,2,1,E,6,15,3,2,14,7,6,4,4,1,0,0.0
52,T1,23/09/2018,Kasimpasa,Alanyaspor,1,2,D,0,1,D,24,8,6,3,14,17,7,0,2,3,0,0.0
53,T1,24/09/2018,Fenerbahce,Besiktas,1,1,B,0,1,D,13,11,7,4,13,16,2,7,1,5,0,1.0
54,T1,28/09/2018,Galatasaray,Erzurum BB,1,0,E,0,0,B,12,10,7,1,12,12,10,6,3,2,0,0.0
55,T1,29/09/2018,Alanyaspor,Akhisar Belediyespor,2,1,E,1,0,E,5,6,3,1,17,9,2,8,4,2,1,0.0
56,T1,29/09/2018,Besiktas,Kayserispor,2,0,E,1,0,E,12,9,4,3,10,11,6,3,1,0,0,0.0
57,T1,29/09/2018,Trabzonspor,Kasimpasa,4,2,E,1,2,D,19,16,7,9,14,11,7,6,2,3,0,0.0
58,T1,30/09/2018,Goztep,Konyaspor,3,2,E,2,0,E,13,10,9,2,11,15,7,6,3,4,0,0.0
59,T1,30/09/2018,Rizespor,Fenerbahce,3,0,E,3,0,E,9,17,4,5,11,15,5,7,1,1,0,0.0
60,T1,30/09/2018,Sivasspor,Bursaspor,2,0,E,1,0,E,9,7,3,3,23,14,5,6,2,4,0,0.0
